country,location,loc_code,lat,lon,cycle,phenotype_date,Year,Month,Day,NDVI
USA,Arizona,ARZ,33.06,-111.98,2011,2011-01-14,2011,1,14,0.2
USA,Arizona,ARZ,33.06,-111.98,2011,2011-01-18,2011,1,18,0.22
USA,Arizona,ARZ,33.06,-111.98,2011,2011-01-26,2011,1,26,0.32
USA,Arizona,ARZ,33.06,-111.98,2011,2011-02-01,2011,2,1,0.44
USA,Arizona,ARZ,33.06,-111.98,2011,2011-02-07,2011,2,7,0.49
USA,Arizona,ARZ,33.06,-111.98,2011,2011-02-14,2011,2,14,0.64
USA,Arizona,ARZ,33.06,-111.98,2011,2011-02-22,2011,2,22,0.85
USA,Arizona,ARZ,33.06,-111.98,2011,2011-02-24,2011,2,24,0.86
USA,Arizona,ARZ,33.06,-111.98,2011,2011-03-02,2011,3,2,0.88
USA,Arizona,ARZ,33.06,-111.98,2011,2011-03-08,2011,3,8,0.9
USA,Arizona,ARZ,33.06,-111.98,2011,2011-03-16,2011,3,16,0.93
USA,Arizona,ARZ,33.06,-111.98,2011,2011-03-22,2011,3,22,0.93
USA,Arizona,ARZ,33.06,-111.98,2011,2011-03-30,2011,3,30,0.94
USA,Arizona,ARZ,33.06,-111.98,2011,2011-04-07,2011,4,7,0.93
USA,Arizona,ARZ,33.06,-111.98,2011,2011-04-13,2011,4,13,0.93
USA,Arizona,ARZ,33.06,-111.98,2011,2011-04-19,2011,4,19,0.9
USA,Arizona,ARZ,33.06,-111.98,2011,2011-04-27,2011,4,27,0.84
USA,Arizona,ARZ,33.06,-111.98,2011,2011-05-06,2011,5,6,0.6
USA,Arizona,ARZ,33.06,-111.98,2011,2011-05-11,2011,5,11,0.48
USA,Arizona,ARZ,33.06,-111.98,2012,2012-01-10,2012,1,10,0.19
USA,Arizona,ARZ,33.06,-111.98,2012,2012-01-19,2012,1,19,0.34
USA,Arizona,ARZ,33.06,-111.98,2012,2012-01-25,2012,1,25,0.43
USA,Arizona,ARZ,33.06,-111.98,2012,2012-02-02,2012,2,2,0.66
USA,Arizona,ARZ,33.06,-111.98,2012,2012-02-10,2012,2,10,0.88
USA,Arizona,ARZ,33.06,-111.98,2012,2012-02-17,2012,2,17,0.9
USA,Arizona,ARZ,33.06,-111.98,2012,2012-02-23,2012,2,23,0.92
USA,Arizona,ARZ,33.06,-111.98,2012,2012-03-02,2012,3,2,0.92
USA,Arizona,ARZ,33.06,-111.98,2012,2012-03-12,2012,3,12,0.93
USA,Arizona,ARZ,33.06,-111.98,2012,2012-03-22,2012,3,22,0.92
USA,Arizona,ARZ,33.06,-111.98,2012,2012-03-30,2012,3,30,0.92
USA,Arizona,ARZ,33.06,-111.98,2012,2012-04-06,2012,4,6,0.92
USA,Arizona,ARZ,33.06,-111.98,2012,2012-04-13,2012,4,13,0.9
USA,Arizona,ARZ,33.06,-111.98,2012,2012-04-18,2012,4,18,0.89
USA,Arizona,ARZ,33.06,-111.98,2012,2012-04-27,2012,4,27,0.83
USA,Arizona,ARZ,33.06,-111.98,2012,2012-05-03,2012,5,3,0.66
USA,Arizona,ARZ,33.06,-111.98,2012,2012-05-11,2012,5,11,0.34
USA,Colorado,COL,40.449,-104.64,2010,2010-03-29,2010,3,29,0.2
USA,Colorado,COL,40.449,-104.64,2010,2010-04-16,2010,4,16,0.4
USA,Colorado,COL,40.449,-104.64,2010,2010-04-26,2010,4,26,0.61
USA,Colorado,COL,40.449,-104.64,2010,2010-05-03,2010,5,3,0.65
USA,Colorado,COL,40.449,-104.64,2010,2010-05-10,2010,5,10,0.82
USA,Colorado,COL,40.449,-104.64,2010,2010-05-17,2010,5,17,0.85
